Epoch,PopBestAvg,PopWorstAvg,PopAvg
1,2805.0,27.0,334.875
2,2940.0,21.0,362.643
3,2679.0,30.0,395.478
4,3477.0,39.0,398.607
5,3621.0,33.0,406.266
6,2670.0,24.0,408.45
7,2655.0,42.0,382.965
8,3102.0,42.0,413.397
9,3087.0,36.0,420.213
10,3390.0,39.0,414.213
11,3480.0,33.0,428.004
12,3108.0,33.0,426.309
13,3153.0,27.0,408.852
14,2823.0,18.0,408.492
15,3426.0,42.0,418.818
16,3543.0,33.0,429.126
17,2955.0,36.0,425.334
18,2934.0,33.0,416.232
19,3492.0,39.0,430.854
20,3432.0,30.0,421.299
21,3894.0,30.0,422.355
22,3693.0,33.0,415.989
23,2808.0,36.0,422.733
24,3423.0,30.0,424.788
25,2994.0,33.0,428.259
26,4926.0,39.0,447.489
27,3216.0,42.0,440.517
28,2988.0,39.0,414.996
29,3282.0,45.0,431.331
30,3483.0,30.0,414.699
31,3225.0,33.0,422.1
32,2943.0,33.0,413.388
33,4020.0,33.0,436.14
34,9315.0,33.0,448.899
35,3114.0,30.0,435.873
36,3357.0,33.0,431.184
37,2979.0,30.0,446.976
38,3309.0,30.0,433.728
39,4050.0,27.0,429.393
40,3663.0,33.0,440.394
41,2832.0,30.0,433.917
42,3693.0,39.0,424.104
43,3516.0,42.0,414.696
44,3216.0,39.0,432.402
45,3081.0,33.0,411.546
46,4089.0,30.0,414.027
47,4065.0,39.0,427.776
48,3105.0,21.0,433.98
49,2880.0,27.0,419.907
50,3396.0,30.0,428.181
51,3597.0,30.0,426.291
52,3111.0,36.0,445.32
53,3711.0,30.0,442.485
54,3450.0,39.0,439.005
55,3231.0,48.0,417.363
56,3330.0,45.0,436.011
57,3366.0,27.0,453.672
58,3486.0,18.0,426.189
59,3075.0,30.0,416.367
60,3597.0,36.0,440.562
61,3063.0,39.0,417.495
62,3465.0,33.0,408.066
63,3333.0,42.0,423.267
64,3399.0,33.0,431.556
65,3429.0,30.0,409.887
66,3159.0,30.0,429.045
67,3741.0,24.0,429.276
68,3501.0,33.0,438.048
69,2742.0,42.0,428.151
70,2835.0,33.0,424.965
71,4191.0,33.0,433.467
72,3417.0,42.0,411.693
73,3234.0,33.0,418.323
74,3453.0,39.0,435.006
75,3477.0,36.0,442.785
76,2871.0,39.0,439.368
77,2988.0,36.0,427.938
78,3288.0,21.0,434.793
79,2913.0,27.0,435.849
80,3159.0,30.0,441.909
81,3216.0,30.0,410.679
82,2958.0,39.0,434.649
